fecha,codigosucursal,codigovariable,valor
22/03/2018,16,1,610746.66
22/03/2018,16,2,118.00
22/03/2018,16,3,5175.82
22/03/2018,16,4,198.00
22/03/2018,16,5,73.86
22/03/2018,16,6,101.79
22/03/2018,16,7,0.27
22/03/2018,16,8,34.00
22/03/2018,16,9,146649.88
22/03/2018,16,10,2.00
22/03/2018,16,11,488.00
22/03/2018,16,12,416015.23
22/03/2018,16,13,9.49
22/03/2018,16,14,5135.99
22/03/2018,16,15,659517.35
22/03/2018,16,16,80.00
22/03/2018,16,17,369272.29
22/03/2018,16,18,0.16
22/03/2018,16,19,0.00
22/03/2018,16,20,7.00
22/03/2018,16,21,3.00
22/03/2018,16,22,3.00
22/03/2018,16,23,2.00
22/03/2018,16,24,10.00
22/03/2018,16,25,3.00
22/03/2018,16,26,4.00
22/03/2018,16,27,4.00
22/03/2018,16,28,3.00
22/03/2018,16,29,0.00
22/03/2018,16,30,0.00
22/03/2018,16,31,0.00
22/03/2018,16,32,1.00
22/03/2018,16,33,0.00
22/03/2018,16,34,0.00
22/03/2018,16,35,0.00
22/03/2018,16,36,17.00
22/03/2018,16,37,0.00
22/03/2018,16,38,4.00
22/03/2018,16,39,0.00
22/03/2018,16,40,1.00
22/03/2018,17,1,404907.65
22/03/2018,17,2,60.00
22/03/2018,17,3,6748.46
22/03/2018,17,4,97.00
22/03/2018,17,5,57.00
22/03/2018,17,6,7.04
22/03/2018,17,7,0.01
22/03/2018,17,8,16.00
22/03/2018,17,9,39701.17
22/03/2018,17,10,2.00
22/03/2018,17,11,168.00
22/03/2018,17,12,93293.07
22/03/2018,17,13,10.08
22/03/2018,17,14,7176.39
22/03/2018,17,15,188674.57
22/03/2018,17,16,42.00
22/03/2018,17,17,204193.17
22/03/2018,17,18,0.25
22/03/2018,17,19,0.00
22/03/2018,17,20,0.00
22/03/2018,17,21,1.00
22/03/2018,17,22,4.00
22/03/2018,17,23,0.00
22/03/2018,17,24,6.00
22/03/2018,17,25,7.00
22/03/2018,17,26,0.00
22/03/2018,17,27,1.00
22/03/2018,17,28,2.00
22/03/2018,17,29,7.00
22/03/2018,17,30,1.00
22/03/2018,17,31,1.00
22/03/2018,17,32,0.00
22/03/2018,17,33,0.00
22/03/2018,17,34,0.00
22/03/2018,17,35,3.00
22/03/2018,17,36,7.00
22/03/2018,17,37,0.00
22/03/2018,17,38,0.00
22/03/2018,17,39,0.00
22/03/2018,17,40,0.00
22/03/2018,18,1,521545.20
22/03/2018,18,2,77.00
22/03/2018,18,3,6773.31
22/03/2018,18,4,145.00
22/03/2018,18,5,88.55
22/03/2018,18,6,158.04
22/03/2018,18,7,0.44
22/03/2018,18,8,37.00
22/03/2018,18,9,204959.49
22/03/2018,18,10,1.00
22/03/2018,18,11,437.00
22/03/2018,18,12,323856.63
22/03/2018,18,13,11.94
22/03/2018,18,14,6228.01
22/03/2018,18,15,472095.87
22/03/2018,18,16,25.00
22/03/2018,18,17,95568.21
22/03/2018,18,18,0.06
22/03/2018,18,19,1.00
22/03/2018,18,20,2.00
22/03/2018,18,21,1.00
22/03/2018,18,22,4.00
22/03/2018,18,23,3.00
22/03/2018,18,24,11.00
22/03/2018,18,25,5.00
22/03/2018,18,26,3.00
22/03/2018,18,27,1.00
22/03/2018,18,28,2.00
22/03/2018,18,29,3.00
22/03/2018,18,30,0.00
22/03/2018,18,31,1.00
22/03/2018,18,32,1.00
22/03/2018,18,33,0.00
22/03/2018,18,34,1.00
22/03/2018,18,35,1.00
22/03/2018,18,36,10.00
22/03/2018,18,37,5.00
22/03/2018,18,38,6.00
22/03/2018,18,39,1.00
22/03/2018,18,40,1.00
22/03/2018,19,1,637779.23
22/03/2018,19,2,100.00
22/03/2018,19,3,6377.79
22/03/2018,19,4,152.00
22/03/2018,19,5,71.67
22/03/2018,19,6,77.78
22/03/2018,19,7,0.23
22/03/2018,19,8,37.00
22/03/2018,19,9,100194.44
22/03/2018,19,10,5.00
22/03/2018,19,11,603.00
22/03/2018,19,12,449714.32
22/03/2018,19,13,9.95
22/03/2018,19,14,4941.92
22/03/2018,19,15,762071.76
22/03/2018,19,16,64.00
22/03/2018,19,17,290297.09
22/03/2018,19,18,0.11
22/03/2018,19,19,2.00
22/03/2018,19,20,6.00
22/03/2018,19,21,4.00
22/03/2018,19,22,4.00
22/03/2018,19,23,2.00
22/03/2018,19,24,9.00
22/03/2018,19,25,7.00
22/03/2018,19,26,1.00
22/03/2018,19,27,1.00
22/03/2018,19,28,0.00
22/03/2018,19,29,4.00
22/03/2018,19,30,0.00
22/03/2018,19,31,2.00
22/03/2018,19,32,0.00
22/03/2018,19,33,3.00
22/03/2018,19,34,5.00
22/03/2018,19,35,2.00
22/03/2018,19,36,8.00
22/03/2018,19,37,2.00
22/03/2018,19,38,2.00
22/03/2018,19,39,1.00
22/03/2018,19,40,4.00
22/03/2018,20,1,2544428.07
22/03/2018,20,2,273.00
22/03/2018,20,3,9320.25
22/03/2018,20,4,377.00
22/03/2018,20,5,148.68
22/03/2018,20,6,489.31
22/03/2018,20,7,0.39
22/03/2018,20,8,36.00
22/03/2018,20,9,167737.34
22/03/2018,20,10,6.00
22/03/2018,20,11,649.00
22/03/2018,20,12,1195388.71
22/03/2018,20,13,9.96
22/03/2018,20,14,6392.45
22/03/2018,20,15,944176.49
22/03/2018,20,16,51.00
22/03/2018,20,17,244543.75
22/03/2018,20,18,0.08
22/03/2018,20,19,2.00
22/03/2018,20,20,2.00
22/03/2018,20,21,5.00
22/03/2018,20,22,8.00
22/03/2018,20,23,2.00
22/03/2018,20,24,18.00
22/03/2018,20,25,14.00
22/03/2018,20,26,7.00
22/03/2018,20,27,4.00
22/03/2018,20,28,5.00
22/03/2018,20,29,10.00
22/03/2018,20,30,5.00
22/03/2018,20,31,6.00
22/03/2018,20,32,-1.00
22/03/2018,20,33,2.00
22/03/2018,20,34,6.00
22/03/2018,20,35,3.00
22/03/2018,20,36,12.00
22/03/2018,20,37,2.00
22/03/2018,20,38,7.00
22/03/2018,20,39,1.00
22/03/2018,20,40,6.00
22/03/2018,21,1,776914.30
22/03/2018,21,2,167.00
22/03/2018,21,3,4652.18
22/03/2018,21,4,217.00
22/03/2018,21,5,60.64
22/03/2018,21,6,129.49
22/03/2018,21,7,0.30
22/03/2018,21,8,4.00
22/03/2018,21,9,8998.91
22/03/2018,21,10,6.00
22/03/2018,21,11,544.00
22/03/2018,21,12,449511.24
22/03/2018,21,13,8.54
22/03/2018,21,14,4885.99
22/03/2018,21,15,684312.78
22/03/2018,21,16,110.00
22/03/2018,21,17,346002.22
22/03/2018,21,18,0.20
22/03/2018,21,19,1.00
22/03/2018,21,20,3.00
22/03/2018,21,21,1.00
22/03/2018,21,22,4.00
22/03/2018,21,23,3.00
22/03/2018,21,24,24.00
22/03/2018,21,25,8.00
22/03/2018,21,26,1.00
22/03/2018,21,27,1.00
22/03/2018,21,28,5.00
22/03/2018,21,29,3.00
22/03/2018,21,30,1.00
22/03/2018,21,31,2.00
22/03/2018,21,32,1.00
22/03/2018,21,33,6.00
22/03/2018,21,34,4.00
22/03/2018,21,35,0.00
22/03/2018,21,36,9.00
22/03/2018,21,37,3.00
22/03/2018,21,38,2.00
22/03/2018,21,39,0.00
22/03/2018,21,40,5.00
22/03/2018,22,1,534919.34
22/03/2018,22,2,104.00
22/03/2018,22,3,5143.46
22/03/2018,22,4,149.00
22/03/2018,22,5,66.87
22/03/2018,22,6,297.18
22/03/2018,22,7,0.57
22/03/2018,22,8,41.00
22/03/2018,22,9,155057.84
22/03/2018,22,10,5.00
22/03/2018,22,11,339.00
22/03/2018,22,12,369261.13
22/03/2018,22,13,8.24
22/03/2018,22,14,4395.97
22/03/2018,22,15,423133.45
22/03/2018,22,16,28.00
22/03/2018,22,17,135679.80
22/03/2018,22,18,0.08
22/03/2018,22,19,1.00
22/03/2018,22,20,2.00
22/03/2018,22,21,1.00
22/03/2018,22,22,5.00
22/03/2018,22,23,0.00
22/03/2018,22,24,14.00
22/03/2018,22,25,4.00
22/03/2018,22,26,0.00
22/03/2018,22,27,2.00
22/03/2018,22,28,1.00
22/03/2018,22,29,1.00
22/03/2018,22,30,1.00
22/03/2018,22,31,5.00
22/03/2018,22,32,0.00
22/03/2018,22,33,3.00
22/03/2018,22,34,3.00
22/03/2018,22,35,2.00
22/03/2018,22,36,6.00
22/03/2018,22,37,11.00
22/03/2018,22,38,2.00
22/03/2018,22,39,0.00
22/03/2018,22,40,1.00
22/03/2018,23,1,718132.44
22/03/2018,23,2,171.00
22/03/2018,23,3,4199.60
22/03/2018,23,4,234.00
22/03/2018,23,5,78.92
22/03/2018,23,6,71.10
22/03/2018,23,7,0.22
22/03/2018,23,8,41.00
22/03/2018,23,9,129380.46
22/03/2018,23,10,5.00
22/03/2018,23,11,662.00
22/03/2018,23,12,438570.70
22/03/2018,23,13,9.42
22/03/2018,23,14,4137.46
22/03/2018,23,15,0.00
22/03/2018,23,16,168.00
22/03/2018,23,17,781479.20
22/03/2018,23,18,0.25
22/03/2018,23,19,2.00
22/03/2018,23,20,4.00
22/03/2018,23,21,2.00
22/03/2018,23,22,9.00
22/03/2018,23,23,5.00
22/03/2018,23,24,11.00
