fecha,codigosucursal,codigovariable,valor
07/04/2018,11,20,0.00
07/04/2018,11,21,1.00
07/04/2018,11,22,2.00
07/04/2018,11,23,0.00
07/04/2018,11,24,5.00
07/04/2018,11,25,6.00
07/04/2018,11,26,1.00
07/04/2018,11,27,1.00
07/04/2018,11,28,1.00
07/04/2018,11,29,1.00
07/04/2018,11,30,0.00
07/04/2018,11,31,1.00
07/04/2018,11,32,1.00
07/04/2018,11,33,0.00
07/04/2018,11,34,3.00
07/04/2018,11,35,1.00
07/04/2018,11,36,2.00
07/04/2018,11,37,0.00
07/04/2018,11,38,8.00
07/04/2018,11,39,1.00
07/04/2018,11,40,0.00
07/04/2018,12,1,31271.79
07/04/2018,12,2,7.00
07/04/2018,12,3,4467.40
07/04/2018,12,4,13.00
07/04/2018,12,5,70.76
07/04/2018,12,6,29.78
07/04/2018,12,7,0.48
07/04/2018,12,8,0.00
07/04/2018,12,9,0.00
07/04/2018,12,10,0.00
07/04/2018,12,11,159.00
07/04/2018,12,12,13023.57
07/04/2018,12,13,7.33
07/04/2018,12,14,4341.19
07/04/2018,12,15,42178.09
07/04/2018,12,16,14.00
07/04/2018,12,17,57495.26
07/04/2018,12,18,0.09
07/04/2018,12,19,0.00
07/04/2018,12,20,0.00
07/04/2018,12,21,0.00
07/04/2018,12,22,0.00
07/04/2018,12,23,1.00
07/04/2018,12,24,0.00
07/04/2018,12,25,0.00
07/04/2018,12,26,0.00
07/04/2018,12,27,0.00
07/04/2018,12,28,0.00
07/04/2018,12,29,0.00
07/04/2018,12,30,0.00
07/04/2018,12,31,0.00
07/04/2018,12,32,0.00
07/04/2018,12,33,0.00
07/04/2018,12,34,0.00
07/04/2018,12,35,0.00
07/04/2018,12,36,1.00
07/04/2018,12,37,0.00
07/04/2018,12,38,5.00
07/04/2018,12,39,0.00
07/04/2018,12,40,0.00
07/04/2018,13,1,209353.82
07/04/2018,13,2,34.00
07/04/2018,13,3,6157.47
07/04/2018,13,4,60.00
07/04/2018,13,5,64.94
07/04/2018,13,6,87.23
07/04/2018,13,7,0.39
07/04/2018,13,8,5.00
07/04/2018,13,9,16748.44
07/04/2018,13,10,0.00
07/04/2018,13,11,290.00
07/04/2018,13,12,74911.99
07/04/2018,13,13,10.15
07/04/2018,13,14,5762.46
07/04/2018,13,15,140103.81
07/04/2018,13,16,36.00
07/04/2018,13,17,165049.27
07/04/2018,13,18,0.12
07/04/2018,13,19,0.00
07/04/2018,13,20,1.00
07/04/2018,13,21,0.00
07/04/2018,13,22,0.00
07/04/2018,13,23,1.00
07/04/2018,13,24,6.00
07/04/2018,13,25,6.00
07/04/2018,13,26,0.00
07/04/2018,13,27,0.00
07/04/2018,13,28,1.00
07/04/2018,13,29,1.00
07/04/2018,13,30,0.00
07/04/2018,13,31,0.00
07/04/2018,13,32,0.00
07/04/2018,13,33,0.00
07/04/2018,13,34,0.00
07/04/2018,13,35,0.00
07/04/2018,13,36,1.00
07/04/2018,13,37,-1.00
07/04/2018,13,38,7.00
07/04/2018,13,39,0.00
07/04/2018,13,40,0.00
07/04/2018,15,1,108852.90
07/04/2018,15,2,23.00
07/04/2018,15,3,4732.73
07/04/2018,15,4,31.00
07/04/2018,15,5,77.35
07/04/2018,15,6,11.34
07/04/2018,15,7,0.16
07/04/2018,15,8,7.00
07/04/2018,15,9,27573.20
07/04/2018,15,10,1.00
07/04/2018,15,11,490.00
07/04/2018,15,12,103342.71
07/04/2018,15,13,8.50
07/04/2018,15,14,4697.40
07/04/2018,15,15,215193.61
07/04/2018,15,16,38.00
07/04/2018,15,17,216672.25
07/04/2018,15,18,0.08
07/04/2018,15,19,0.00
07/04/2018,15,20,0.00
07/04/2018,15,21,0.00
07/04/2018,15,22,2.00
07/04/2018,15,23,0.00
07/04/2018,15,24,2.00
07/04/2018,15,25,2.00
07/04/2018,15,26,0.00
07/04/2018,15,27,0.00
07/04/2018,15,28,0.00
07/04/2018,15,29,0.00
07/04/2018,15,30,0.00
07/04/2018,15,31,1.00
07/04/2018,15,32,0.00
07/04/2018,15,33,2.00
07/04/2018,15,34,1.00
07/04/2018,15,35,0.00
07/04/2018,15,36,0.00
07/04/2018,15,37,1.00
07/04/2018,15,38,2.00
07/04/2018,15,39,0.00
07/04/2018,15,40,0.00
07/04/2018,16,1,146578.56
07/04/2018,16,2,28.00
07/04/2018,16,3,5234.95
07/04/2018,16,4,45.00
07/04/2018,16,5,82.33
07/04/2018,16,6,24.43
07/04/2018,16,7,0.27
07/04/2018,16,8,11.00
07/04/2018,16,9,50423.16
07/04/2018,16,10,0.00
07/04/2018,16,11,477.00
07/04/2018,16,12,128364.70
07/04/2018,16,13,10.19
07/04/2018,16,14,6112.60
07/04/2018,16,15,164820.84
07/04/2018,16,16,69.00
07/04/2018,16,17,330365.37
07/04/2018,16,18,0.14
07/04/2018,16,19,1.00
07/04/2018,16,20,0.00
07/04/2018,16,21,0.00
07/04/2018,16,22,2.00
07/04/2018,16,23,0.00
07/04/2018,16,24,3.00
07/04/2018,16,25,2.00
07/04/2018,16,26,1.00
